Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Masculino;35;2;4;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;23;2;1;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;49;2;1;Nao_Metrop;Branco;Rural;Sim;Nao
Feminino;42;2;1;Nao_Metrop;Branco;Rural;Sim;Nao
Feminino;42;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;37;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;40;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;24;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;26;5;9;Metrop;Branco;Urbano;Nao;Nao
Feminino;44;2;6;Metrop;Branco;Urbano;Sim;Nao
Masculino;58;2;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;28;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;29;2;4;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;43;6;9;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;47;2;5;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;56;5;8;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;34;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;43;7;9;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;51;7;7;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;62;5;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;67;5;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;45;7;9;Metrop;Branco;Urbano;Sim;Nao
Masculino;49;7;9;Metrop;Branco;Urbano;Sim;Nao
Masculino;23;5;7;Metrop;Branco;Urbano;Sim;Nao
Masculino;54;2;2;Metrop;Branco;Urbano;Outros;Nao
Feminino;18;3;4;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;24;4;7;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;40;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;26;5;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;26;6;7;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;25;2;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;28;2;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;43;2;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;34;2;6;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;27;5;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;31;5;9;Metrop;Branco;Urbano;Sim;Nao
Masculino;41;4;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;7;9;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;35;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;31;7;9;Metrop;Branco;Urbano;Outros;Nao
Feminino;67;5;8;Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;42;7;8;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;54;7;8;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;50;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;40;6;5;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;40;7;4;Metrop;Branco;Urbano;Outros;Nao
Masculino;52;6;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;53;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;64;5;2;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;55;3;2;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;28;7;2;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;21;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;46;5;9;Metrop;Branco;Urbano;Outros;Nao
Feminino;34;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;31;5;9;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;55;2;8;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;28;7;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;30;7;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;46;2;5;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;37;5;9;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;44;1;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Feminino;39;7;7;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;50;7;8;Metrop;Branco;Urbano;Outros;Nao
Feminino;52;7;9;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;31;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;40;7;7;Metrop;Branco;Urbano;Outros;Nao
Feminino;53;7;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;49;7;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;49;7;9;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;39;3;11;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;42;7;8;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;38;5;9;Metrop;Branco;Urbano;Sim;Pobreza
Feminino;49;5;11;Metrop;Branco;Urbano;Nao;Pobreza
Masculino;44;5;4;Metrop;Branco;Urbano;Sim;Nao
Masculino;20;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;5;4;Metrop;Branco;Urbano;Sim;Pobreza
Feminino;44;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;52;5;7;Metrop;Branco;Urbano;Sim;Nao
Feminino;50;2;11;Metrop;Branco;Urbano;Nao;Nao
Feminino;63;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;34;6;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;37;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;41;5;5;Metrop;Branco;Urbano;Outros;Nao
Masculino;19;6;7;Metrop;Branco;Urbano;Sim;Nao
Masculino;31;7;7;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;46;7;5;Metrop;Branco;Urbano;Outros;Nao
Masculino;49;7;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;47;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;23;6;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;30;7;10;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;49;2;9;Nao_Metrop;Branco;Urbano;Sim;Nao
Feminino;26;2;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;33;5;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;58;2;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;41;3;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;44;5;2;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;37;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;47;5;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;60;2;6;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;60;2;6;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;52;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;34;5;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;41;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;38;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;41;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;39;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;45;7;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;38;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;43;7;8;Metrop;Branco;Urbano;Outros;Nao
Feminino;41;7;9;Metrop;Branco;Urbano;Outros;Nao
Feminino;40;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;45;7;10;Metrop;Branco;Urbano;Outros;Nao
Feminino;53;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;53;7;9;Metrop;Branco;Urbano;Outros;Nao
Feminino;26;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;51;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;39;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;44;7;7;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;49;7;3;Metrop;Branco;Urbano;Outros;Nao
Feminino;37;7;2;Metrop;Branco;Urbano;Nao;Nao
Masculino;38;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;40;5;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;39;2;4;Metrop;Branco;Urbano;Outros;Nao
Masculino;19;4;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;39;5;5;Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;39;2;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;45;2;9;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;57;4;3;Metrop;Branco;Urbano;Outros;Nao
Feminino;37;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;31;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;5;3;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;42;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;57;2;11;Metrop;Branco;Urbano;Nao;Nao
Feminino;44;2;6;Metrop;Branco;Urbano;Outros;Pobreza
Masculino;56;2;10;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;56;5;10;Metrop;Branco;Urbano;Outros;Nao
Feminino;40;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;24;6;3;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;49;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;20;5;1;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;57;2;4;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;37;1;3;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;21;2;2;Nao_Metrop;Nao Branco;Rural;Nao;Nao
Masculino;53;2;2;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;30;5;5;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;57;5;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;27;6;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;33;6;4;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;57;7;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;56;5;9;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;41;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;28;5;6;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Masculino;49;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;28;5;9;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;55;3;8;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;60;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;57;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;39;2;3;Nao_Metrop;Branco;Urbano;Nao;Pobreza
Masculino;25;4;2;Nao_Metrop;Branco;Urbano;Sim;Pobreza
Masculino;60;2;6;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;57;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;39;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;28;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;36;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;60;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;52;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;31;2;8;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Masculino;49;1;6;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;38;7;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;33;5;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;52;4;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;17;2;4;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;22;5;2;Nao_Metrop;Branco;Rural;Sim;Pobreza
Feminino;40;5;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;30;4;1;Metrop;Branco;Rural;Sim;Pobreza
Masculino;43;2;1;Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;57;7;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;42;2;2;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;47;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;18;5;2;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;37;2;2;Nao_Metrop;Branco;Rural;Nao;Nao
Feminino;36;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;40;5;7;Nao_Metrop;Branco;Urbano;Sim;Nao
Feminino;40;7;9;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;46;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;37;7;4;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;57;3;4;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Masculino;29;7;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;32;7;9;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;50;5;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;46;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;39;7;8;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;41;7;7;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;32;7;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;71;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;44;2;10;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;38;2;10;Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;43;5;3;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;43;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;23;5;4;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;51;5;5;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;58;5;5;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;49;5;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;21;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;50;3;2;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;39;5;11;Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;48;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;49;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;33;3;7;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;27;2;4;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;36;5;6;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;57;7;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;23;6;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;44;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;26;4;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;25;7;9;Nao_Metrop;Branco;Rural;Nao;Nao
Masculino;48;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Feminino;27;4;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;29;5;3;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;41;5;1;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Feminino;33;2;1;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Feminino;23;5;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;26;5;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;56;2;7;Metrop;Nao Branco;Rural;Sim;Nao
Feminino;41;5;2;Metrop;Branco;Rural;Outros;Nao
Masculino;51;5;9;Metrop;Nao Branco;Rural;Sim;Nao
Feminino;40;5;11;Metrop;Nao Branco;Rural;Nao;Nao
Masculino;31;6;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;53;2;11;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;43;5;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;66;1;7;Metrop;Branco;Urbano;Sim;Nao
Feminino;35;5;4;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;37;5;4;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;39;5;4;Metrop;Branco;Urbano;Sim;Pobreza
Masculino;21;5;2;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;44;2;6;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;42;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;45;2;8;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;27;5;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Feminino;44;5;10;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Feminino;33;6;11;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;38;5;8;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;44;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;27;5;9;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;51;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;48;1;4;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;55;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;73;1;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;46;2;6;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;39;2;4;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;40;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;25;5;2;Nao_Metrop;Nao Branco;Rural;Nao;Nao
Masculino;24;2;5;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;53;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;43;1;2;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;40;2;2;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;40;2;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;48;5;8;Metrop;Branco;Urbano;Outros;Nao
Masculino;22;5;8;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;34;2;11;Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;52;5;7;Metrop;Branco;Urbano;Outros;Nao
Masculino;53;5;4;Metrop;Branco;Urbano;Sim;Nao
Feminino;43;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;33;5;2;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;24;4;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;34;5;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;29;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;22;5;5;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;22;5;5;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;22;5;2;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;56;2;2;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;29;5;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;26;6;9;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;52;1;6;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;36;2;11;Nao_Metrop;Branco;Urbano;Nao;Pobreza
Masculino;43;2;1;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;48;5;7;Metrop;Branco;Urbano;Sim;Nao
Masculino;21;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;41;5;6;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;44;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;30;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;41;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;41;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;43;2;4;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;45;2;11;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;45;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Feminino;39;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;55;2;6;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;55;2;6;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;49;2;6;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;27;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;48;1;10;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;21;2;10;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;34;5;10;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;28;2;3;Nao_Metrop;Branco;Urbano;Nao;Pobreza
Feminino;21;5;2;Nao_Metrop;Branco;Urbano;Nao;Pobreza
Masculino;28;5;6;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;42;5;2;Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;50;3;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;52;2;7;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;53;2;1;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Feminino;58;2;11;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;43;2;11;Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;49;5;4;Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;34;5;4;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;35;5;9;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;30;1;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;63;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;61;2;4;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;37;6;4;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;58;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;52;2;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;56;2;6;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;54;2;5;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;58;2;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Feminino;49;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;50;5;3;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;49;2;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;46;2;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;19;4;1;Nao_Metrop;Branco;Rural;Nao;Pobreza
Masculino;34;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;29;4;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;3;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;30;5;9;Metrop;Branco;Urbano;Nao;Nao
Masculino;51;2;2;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;23;5;9;Metrop;Branco;Urbano;Sim;Nao
Feminino;37;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;41;2;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;27;5;9;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;25;5;4;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;23;5;4;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;19;5;4;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;38;3;1;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;19;4;4;Nao_Metrop;Branco;Rural;Nao;Pobreza
Feminino;52;5;4;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;55;5;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;45;3;2;Nao_Metrop;Branco;Urbano;Outros;Pobreza
Feminino;32;5;6;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;39;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;41;5;7;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;55;3;2;Nao_Metrop;Branco;Urbano;Nao;Nao
Feminino;51;2;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;23;5;4;Nao_Metrop;Branco;Urbano;Sim;Pobreza
Masculino;62;2;6;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;33;7;9;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;50;2;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;31;7;9;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;35;6;10;Nao_Metrop;Branco;Urbano;Sim;Nao
Feminino;34;5;9;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;51;2;10;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;57;2;2;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;28;2;10;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;27;4;2;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;19;5;3;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;57;5;7;Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;64;2;2;Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;42;5;11;Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;47;5;5;Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;33;5;6;Metrop;Branco;Urbano;Sim;Nao
Masculino;46;5;5;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;50;2;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;44;5;9;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;52;5;7;Metrop;Branco;Urbano;Sim;Nao
Feminino;43;5;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;38;6;2;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;32;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;6;2;Nao_Metrop;Branco;Urbano;Sim;Nao
