Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Masculino;50;2;9;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;33;6;5;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;28;6;8;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;59;2;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;36;7;8;Metrop;Branco;Urbano;Outros;Nao
Feminino;43;7;9;Metrop;Branco;Urbano;Sim;Nao
Masculino;49;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;53;5;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;20;5;11;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;15;2;4;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;56;2;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;65;2;4;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;26;5;4;Metrop;Branco;Urbano;Outros;Nao
Masculino;47;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;28;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;23;5;9;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;55;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;30;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;44;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;37;4;7;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;54;5;5;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;26;7;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;42;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;38;5;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;62;2;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;41;4;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;28;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;25;6;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;43;4;7;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;26;2;2;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;52;2;11;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;41;4;3;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;42;7;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;2;3;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;36;1;11;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;53;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;59;7;7;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;37;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;34;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;33;7;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;53;2;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Feminino;36;5;5;Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;24;5;6;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;40;5;4;Metrop;Branco;Urbano;Sim;Nao
Masculino;46;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;20;5;4;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;18;4;4;Nao_Metrop;Branco;Rural;Nao;Nao
Masculino;62;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;58;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Feminino;52;5;9;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;40;4;4;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;33;7;4;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;32;7;10;Nao_Metrop;Nao Branco;Rural;Nao;Nao
Masculino;26;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;24;5;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;63;2;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Feminino;37;7;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Feminino;50;3;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;52;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;60;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;42;2;1;Nao_Metrop;Nao Branco;Rural;Sim;Pobreza
Masculino;29;2;5;Nao_Metrop;Branco;Rural;Nao;Nao
Masculino;53;2;1;Nao_Metrop;Branco;Rural;Nao;Nao
Masculino;61;1;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;40;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;54;7;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;53;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;33;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;58;5;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;27;7;7;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;33;3;11;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;25;6;10;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;41;5;5;Metrop;Branco;Urbano;Outros;Nao
Masculino;46;5;7;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;44;5;9;Metrop;Branco;Urbano;Outros;Nao
Feminino;35;5;9;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;35;2;2;Nao_Metrop;Branco;Urbano;Sim;Pobreza
Feminino;45;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Feminino;35;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;28;5;1;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;43;2;1;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;39;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;29;7;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;31;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;40;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;56;2;1;Nao_Metrop;Branco;Rural;Outros;Pobreza
Masculino;35;2;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;50;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;64;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Masculino;46;2;1;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;37;5;9;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Masculino;35;5;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Masculino;55;1;1;Nao_Metrop;Nao Branco;Rural;Outros;Pobreza
Feminino;54;2;2;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;52;1;6;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;28;2;1;Nao_Metrop;Branco;Rural;Outros;Nao
Masculino;35;2;2;Nao_Metrop;Branco;Rural;Sim;Nao
Masculino;31;5;1;Nao_Metrop;Nao Branco;Rural;Nao;Pobreza
Masculino;46;2;5;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;47;4;11;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;50;4;5;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;48;7;5;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
